Name,Slot/Stapel,Count,Heizsystem,Kosten,BauEmissionen,SofortCO2,Strombedarf,Stromproduktion,Stromspeicher,Wärmeschutz,Wärmepumpen-Effizienz,Zufriedenheit,SofortBudget,REAL Kosten,REAL BauEmissionen,REAL Sofort CO2,REAL Strombedarf,REAL Stromproduktion,REAL Stromspeicher,REAL Wärmeschutz,REAL Wärmepumpen-Effizienz,Freitext,Voraussetzung Spalte,Voraussetzung Wert,Voraussetzung Wert NICHT,EffektLine,Beschreibung,description_en,card_id,label_en,Voraussetzungen Texte,Quelle,Page,,
Grosser Batteriespeicher,*Flexibilität,1,,2,,0,0,0,5,,,,,,,,0,,25,,,"Voraussetzung: Kein Kleiner Heimspeicher installiert",Name,,Kleiner Heimspeicher,+5FL,"Batteriespeicher werden immer günstiger. Sie können den eigenen PV-Strom in  den Abend retten und vermeiden so CO2-intensiveren  Stromnetzbezug.","Large BESS",BESS_large,Large BESS,,,,,
Kleiner Heimspeicher,*Flexibilität,1,,1,,0,0,0,2,,,,,,,,,,10,,,"Voraussetzung: Kein Großer Batteriespeicher installiert",Name,,Grosser Batteriespeicher,+2FL,"Batteriespeicher werden immer günstiger. Sie können den eigenen PV-Strom in  den Abend retten und vermeiden so  CO2-intensiveren  Stromnetzbezug.","Small BESS",BESS_small,Small BESS,,,,,
Thermische Flexibilität,*Flexibilität,1,,0,,0,0,0,2,,,-1,,,,,,,10,,,"Voraussetzung: Wärmepumpe",Heizsystem,WP,,"+2FL&nbsp;-1ZU","Wenn die Nutzer es zulassen, können Wärmepumpen zusätzlichen Strom im Gebäude als Wärme (oder im Sommer durch zusätzliche Kühlung)  speichern. So lässt sich noch mehr grüne Energie einsetzen.","Thermal flexibility",thermal_flexibility,Thermal flexibility,Benötigt Wärmepumpe WP ,,,,
Außenliegender Sonnenschutz,*Zufriedenheit,1,,1,,0,0,0,0,,,1,,,,,,,,,1,,,,,+1ZU,"Reduziert effektiv die Sonneneinstrahlung und damit auch die Innentemperatur und nötige Kühlung im Sommer.","Shading",shading,Shading,,,,,
Balkon-Einbau,*Zufriedenheit,1,,1,,10,0,0,0,,,1,,,,10,,,,,,,,,,+1ZU,"Ein Balkon erhöht die Wohnqualität und schafft privaten Freiraum im Bestand. Er bringt Zufriedenheit, verursacht aber zusätzliche Kosten und etwas graue Emissionen durch die neue Konstruktion.","",add_balcony,,,,,,
Barrierefreier Zugang,*Zufriedenheit,1,,1,,0,0,0,0,,,1,,,,,,,,,,,,,,+1ZU,"Ein barrierefreier Zugang macht das Gebäude für alle einfacher und sicherer nutzbar, besonders mit Kinderwagen, Rollstuhl oder Gehhilfe. Er erhöht die Nutzerzufriedenheit spürbar, verursacht aber je nach Bestand baulichen Aufwand und Kosten.","Barrier_free entry",barrier_free_entry,Barrier_free entry,,,,,
Fassadenbegrünung ,*Zufriedenheit,1,,2,0,0,0,0,0,,,1,,,,,0,,,,,"Voraussetzung: Keine Fassadenintegrierte PV installiert",Name,,Fassadenintegrierte PV,+1ZU,"Begrünte Fassaden verbessern das Mikroklima, spenden Schatten und machen das Gebäude attraktiver. Sie erhöhen die Nutzerzufriedenheit leicht und helfen, Emissionen durch geringeren Kühlbedarf etwas zu senken.","Green facades",green_facade,Green facades,,,,,
Hausweiter E-Car Port,*Zufriedenheit,1,,2,-6,0,4,0,6,,,2,,,,,20,,30,,,"Nicht kombinierbar mit Private Ladestationen. Ermöglicht Bi-Direktionelles Laden",Name,,Private Ladestationen,"-6EN&nbsp;+4BM&nbsp;+6FL&nbsp;+2ZU","Ladepunkte machen das Gebäude attraktiver für Nutzer:innen mit E-Autos. Sie steigern den Strombedarf, können aber auch als flexible Speichermöglichkeit genutzt werden (in Kombination mit ""Bi-Direktionalem Laden"").","E-car charging infrastructure",ev_charging_infrastructure,E-car charging infrastructure,,,,,
Intensive Dachbegrünung,*Zufriedenheit,1,,2,-1,0,0,0,0,0,,0,,,,,0,,,1,,,,,,-1EN,"Substrat für grosse Pflanzen und Bäume. Bietet etwas Kohlenstoffspeicherung und Wärmeschutz, dafür aufwendiger in der Pflege.","Intensive roof greening",intensive_roof_greening,Intensive roof greening,,,,,
Lift-Einbau,*Zufriedenheit,1,,2,,10,1,0,0,,,2,,,,10,5,,,,,,,,,"+1BM&nbsp;+2ZU","Ein Lift macht das Gebäude komfortabler und auch im Alter oder bei eingeschränkter Mobilität gut nutzbar. Er bringt viel Nutzerzufriedenheit, ist aber teuer und erfordert größere bauliche Eingriffe.","Elevator installation",elevator_installation,Elevator installation,,,,,
Private Ladestationen,*Zufriedenheit,1,,1,-3,0,2,0,3,,,1,,,,,10,,15,,,"Nicht kombinierbar mit Hausweiter E-Car Port. Ermöglicht Bi-Direktionelles Laden",Name,,Hausweiter E-Car Port,"-3EN&nbsp;+2BM&nbsp;+3FL&nbsp;+1ZU","Ladepunkte machen das Gebäude attraktiver für Nutzer:innen mit E-Autos. Sie steigern den Strombedarf, können aber auch als flexible Speichermöglichkeit genutzt werden (in Kombination mit Bi-Direktionalem Laden).","E-car wall boxes",ev_wallboxes,E-car wall boxes,,,,,
Deckenheizung,Abgabe,1,,2,,0,0,0,0,,2,,,,,,0,,,,2,"Voraussetzung: Wärmeschutz mind. 3",Wärmeschutz,3,,+2EF,"Eine Deckenheizung gibt Wärme über große Flächen ab und ermöglicht niedrige Vorlauftemperaturen. Dadurch arbeiten Wärmepumpen effizienter, während Planung, Regelung und Nutzerakzeptanz gut gelöst werden müssen.","Ceiling heating",ceiling_heating,Ceiling heating,Bewege oder platziere den Effizienzmarker EF entsprechend.,,36,,
Fussbodenheizung,Abgabe,1,,3,,0,0,0,0,,2,1,,,,,0,,,,2,"Voraussetzung: Wärmeschutz mind. 5",Wärmeschutz,5,,"+2EF&nbsp;+1ZU","Eine Fußbodenheizung gibt Wärme über große Flächen ab, ist komfortabel und ermöglicht niedrige Vorlauftemperaturen. Dadurch arbeiten Wärmepumpen effizienter, im Bestand sind aber Bodenaufbau, Bauaufwand und die eher träge Regelung zu beachten.","Underfloor heating",underfloor_heating,Underfloor heating,Bewege oder platziere den Effizienzmarker EF entsprechend.,,35,,
Niedertemperatur Radiator,Abgabe,1,,1,,0,0,0,0,,1,,,,,,0,,,,1,"Voraussetzung: Wärmeschutz mind. 3",Wärmeschutz,3,,+1EF,"Niedertemperatur-Radiatoren sind eine günstigere Alternative zu Flächenheizungen und lassen sich im Bestand meist einfacher nachrüsten. Sie ermöglichen niedrigere Vorlauftemperaturen und verbessern damit die Effizienz der Wärmepumpe, bieten aber weniger Komfort und Effizienzpotenzial als Fußboden- oder Deckenheizung.","Low-temperature radiator",low_temperature_radiator,Low-temperature radiator,Bewege oder platziere den Effizienzmarker EF entsprechend.,,,,
Radiatoren mit Lüftern,Abgabe,1,,0,,0,0,0,0,,1,-1,,,,,0,,,,2,"Voraussetzung: Wärmeschutz mind. 3",Wärmeschutz,3,,"+1EF&nbsp;-1ZU","Radiatoren mit Lüftern erhöhen die Wärmeabgabe und können auch bei niedrigeren Vorlauftemperaturen gut funktionieren. Sie sind einfach nachzurüsten, können aber durch Geräusche oder Luftbewegung als störend empfunden werden.","Radiators with fans",fan_assisted_radiators,Radiators with fans,Bewege oder platziere den Effizienzmarker EF entsprechend.,,,,
Wandheizung,Abgabe,1,,2,,0,0,0,0,,2,,,,,,0,,,,2,"Voraussetzung: Wärmeschutz mind. 5",Wärmeschutz,5,,+2EF,"Eine Wandheizung gibt Wärme über große Flächen ab, ist komfortabel und ermöglicht niedrige Vorlauftemperaturen. Dadurch arbeiten Wärmepumpen effizienter, im Bestand sind aber Einbauaufwand, freie Wandflächen und spätere Möblierung zu beachten.","Wall heating",wall_heating,Wall heating,Bewege oder platziere den Effizienzmarker EF entsprechend.,,,,
Dachgärten,Dachnutzung,1,,2,0,0,0,0,0,,,1,,,,,0,,,,,,,,,+1ZU,"Bepflanzte Grünflächen, die auf dem Dach eines Gebäudes angelegt wurden, um ökologische Vorteile und einen höheren Wohnkomfort zu bieten.","Roof gardens",roof_garden,Roof gardens,,,,,
Grosse Dach-PV-Anlage,Dachnutzung,1,,3,,0,0,8,0,,,,,,,,,40,,,,,,,,+8SP,"Eine große PV-Anlage nutzt die verfügbare Dachfläche konsequent und kann viel Emissionen einsparen. Damit der zusätzliche Strom gut genutzt wird, braucht sie meist Speicher oder flexible Verbraucher.","Large PV system",pv_large,Large PV system,,,,,
Kleine Dach-PV-Anlage,Dachnutzung,1,,1,,0,0,2,0,,,,,,,,,10,,,,,,,,+2SP,"Eine kleine PV-Anlage ist die einfache Standardlösung und deckt vor allem den direkten Eigenverbrauch. Sie spart Emissionen ohne zusätzlichen Speicher, bleibt aber in ihrem Potenzial begrenzt.","Minimal PV system",pv_minimal,Minimal PV system,,,,,
Mittlere Dach-PV-Anlage,Dachnutzung,1,,2,,0,0,5,0,,,,,,,,,25,,,,,,,,+5SP,"Eine mittlere PV-Anlage ist ein guter Kompromiss zwischen Aufwand, Kosten und Klimawirkung. Sie erzeugt mehr Strom als die kleine Variante und wird mit Speicher oder flexiblen Verbrauchern deutlich wirksamer.","Medium-sized PV system",pv_medium,Medium-sized PV system,,,,,
PV Dachziegel,Dachnutzung,1,,2,,0,0,3,0,,,,,,,,,15,,,,,,,,+3SP,"Lösung für denkmalgeschützte Dächer mit reduzierter Effizienz im Vergleich zu herkömmlichen Paneelen.","PV roof tiles",pv_roof_tiles,PV roof tiles,,,,,
PV-Pergola,Dachnutzung,1,,2,,0,0,2,0,,,1,,,,,,10,,,,,,,,"+2SP&nbsp;+1ZU","Eine PV-Pergola ist eine überdachte Terrasse oder Freifläche, bei der die PV-Module zugleich Schatten spenden und Strom erzeugen. Sie ist aufwendig, erhöht aber die Aufenthaltsqualität und Nutzerzufriedenheit deutlich.","PV pergola",pv_pergola,PV pergola,,,,,
Thermische Solaranlage,Dachnutzung,1,,2,,0,0,0,0,1,,,,,,,0,,,1,,,,,,+1WS,"Eine thermische Solaranlage nutzt Sonnenwärme für Warmwasser oder Heizungsunterstützung und reduziert so den Heizenergiebedarf. Früher war sie häufiger die Standardlösung am Dach, heute wird oft PV bevorzugt.","Thermal solar system",solar_thermal,Thermal solar system,,,30,,
Ambitionierte Sanierung,Dämmung,1,,2,,30,0,0,0,4,,,,,,30,0,,,4,,,,,,+4WS,"Die Gebäudehülle wird über den Mindeststandard hinaus verbessert. Dadurch sinkt der Heizwärmebedarf stärker, jedoch mit etwas höherem Material- und Investitionsaufwand.","Conventional facade insulation",conventional_facade_insulation_1,Conventional facade insulation,,https://www.klimaaktiv.at/fileadmin/Bibliothek/Publikationen/2025_Sanierung_Heizungsumstellung.pdf,11,,
Ambitionierte Sanierung ökologisch,Dämmung,1,,3,,-10,0,0,0,4,,,,,,-10,0,,,4,,,,,,+4WS,"Die Gebäudehülle wird über den Mindeststandard hinaus mit ökologischen Dämmstoffen verbessert. Dadurch sinkt der Heizwärmebedarf stärker.","Conventional facade insulation",conventional_facade_insulation_2,Conventional facade insulation,,https://www.klimaaktiv.at/fileadmin/Bibliothek/Publikationen/2025_Sanierung_Heizungsumstellung.pdf,11,,
Dämmputze,Dämmung,0,,999,,0,0,0,0,1,,,,,,,0,,,1,,,,,,+1WS,"zu speziell","Insulating plasters",insulating_plaster,Insulating plasters,,,,,
Fossile Dämmstoffe,Dämmung,0,,999,,0,0,0,0,2,,,,,,,0,,,2,,,,,,+2WS,"Mineralische oder synthetische Dämmstoffe. Hohe Umweltauswirkungen.","Insulation of the top floor ceiling (conventional)",top_floor_ceiling_insulation_conventional,Insulation of the top floor ceiling (conventional),,https://www.klimaaktiv.at/fileadmin/Bibliothek/Publikationen/2025_Sanierung_Heizungsumstellung.pdf,12,,
Fossile Dämmstoffe,Dämmung,0,,999,,0,0,0,0,2,,,,,,,0,,,2,,,,,,+2WS,"Mineralische oder synthetische Dämmstoffe. Hohe Umweltauswirkungen.","Insulation of the lowest floor ceiling (conventional)",lowest_floor_ceiling_insulation_conventional,Insulation of the lowest floor ceiling (conventional),,https://www.klimaaktiv.at/fileadmin/Bibliothek/Publikationen/2025_Sanierung_Heizungsumstellung.pdf,13,,
Holzfaserdämmung,Dämmung,0,,999,,0,0,0,0,2,,,,,,,0,,,2,,,,,,+2WS,"Natürlicher Dämmstoff. Geringe Umweltbelastung und recyclebar.","Eco Insulation of top floor ceiling: wood fiber",top_floor_ceiling_insulation_wood_fiber,Eco Insulation of top floor ceiling: wood fiber,,https://www.klimaaktiv.at/fileadmin/Bibliothek/Publikationen/2025_Sanierung_Heizungsumstellung.pdf,12,,
Holzfaserdämmung,Dämmung,0,,999,,0,0,0,0,2,,,,,,,0,,,2,,,,,,+2WS,"Natürlicher Dämmstoff. Geringe Umweltbelastung und recyclebar.","Insulation of the lowest floor ceiling: wood fiber",lowest_floor_ceiling_insulation_wood_fiber,Insulation of the lowest floor ceiling: wood fiber,,https://www.klimaaktiv.at/fileadmin/Bibliothek/Publikationen/2025_Sanierung_Heizungsumstellung.pdf,13,,
Passivhaussanierung  konventionell,Dämmung,1,,3,,40,0,0,0,5,,,,,,40,0,,,5,,,,,,+5WS,"Hochwertigster Wärmeschutz, luftdichte Gebäudehülle. Die verwendeten Baustoffe sind fossil und verursachen entsprechend höhere graue Energie.","Passivehouse renovation conventional",insulation_passivehouse_fossil,Passivehouse renovation conventional,,https://www.klimaaktiv.at/fileadmin/Bibliothek/Publikationen/2025_Sanierung_Heizungsumstellung.pdf,11,,
Passivhaussanierung  ökologisch,Dämmung,1,,4,,-20,0,0,0,5,,,,,,-10,0,,,5,,,,,,+5WS,"Natürlicher Dämmstoff. Geringe Umweltbelastung und recyclebar.","Passivehouse renovation ecological",insulation_passivehouse_eco,Passivehouse renovation ecological,,https://www.klimaaktiv.at/fileadmin/Bibliothek/Publikationen/2025_Sanierung_Heizungsumstellung.pdf,11,,
RENVELOPE,Dämmung,0,,999,,0,0,0,0,,,,,,,,0,,,,,,,,,,"","Wall emission and insulation package",insulation_renvelope,Wall emission and insulation package,,https://renvelope.at/lösung/,,,
Sanierung Glasfassade,Dämmung,0,,999,,0,0,0,0,2,,,,,,,0,,,2,,,,,,+2WS,"zu speziell","Glass facade renovation",glass_facade_renovation,Glass facade renovation,,https://ig-lebenszyklus.at/wp-content/uploads/2023/11/Massnahmenkatalog_final.pdf,,,
Schafwolldämmung,Dämmung,0,,999,,0,0,0,0,2,,,,,,,0,,,2,,,,,,+2WS,"Natürlicher Dämmstoff. Geringe Umweltbelastung und recyclebar.","Eco Insulation of the top floor ceiling: sheep's wool",top_floor_ceiling_insulation_sheep_wool,Eco Insulation of the top floor ceiling: sheep's wool,,https://www.klimaaktiv.at/fileadmin/Bibliothek/Publikationen/2025_Sanierung_Heizungsumstellung.pdf,12,,
Schafwolldämmung,Dämmung,0,,999,,0,0,0,0,2,,,,,,,0,,,2,,,,,,+2WS,"Natürlicher Dämmstoff. Geringe Umweltbelastung und recyclebar.","Insulation of the lowest floor ceiling: sheep's wool",lowest_floor_ceiling_insulation_sheep_wool,Insulation of the lowest floor ceiling: sheep's wool,,https://www.klimaaktiv.at/fileadmin/Bibliothek/Publikationen/2025_Sanierung_Heizungsumstellung.pdf,13,,
Standardsanierung,Dämmung,1,,1,,20,0,0,0,3,,,,,,20,0,,,3,,,,,,+3WS,"Das Gebäude wird auf den gesetzlichen Mindestandard gebracht. Der Wärmeschutz verbessert sich, die eingesetzten Materialien sind fossil.","Conventional facade insulation",insulation_standard_fossil,Conventional facade insulation,,https://www.klimaaktiv.at/fileadmin/Bibliothek/Publikationen/2025_Sanierung_Heizungsumstellung.pdf,11,,
Standardsanierung ökologisch,Dämmung,1,,2,,5,0,0,0,3,,,,,,-2,0,,,3,,,,,,+3WS,"Hochwertigster Wärmeschutz, luftdichte Gebäudehülle. Die verwendeten ökologischen Baustoffe reduzieren Emissionen.","Ecological facade insulation",insulation_standard_eco,Ecological facade insulation,,https://www.klimaaktiv.at/fileadmin/Bibliothek/Publikationen/2025_Sanierung_Heizungsumstellung.pdf,11,,
Türen abdichten,Dämmung,0,,999,,0,0,0,0,1,,,,,,,0,,,1,,,,,,+1WS,"Schließen Sie die Spalten zwischen Tür und Türrahmen, um Energieverluste durch Luftströme zu vermeiden.","Sealing doors",door_sealing,Sealing doors,,https://ig-lebenszyklus.at/wp-content/uploads/2023/11/Massnahmenkatalog_final.pdf,20,,
Türen tauschen,Dämmung,0,,999,,0,0,0,0,1,,,,,,,0,,,1,,,,,,+1WS,"Eine besser isolierte Tür reduziert die Transmissionsverluste.","Swap doors",door_replacement,Swap doors,,https://ig-lebenszyklus.at/wp-content/uploads/2023/11/Massnahmenkatalog_final.pdf,21,,
Wärmedämmung mit Stuckelementen,Dämmung,0,,999,,0,0,0,0,2,,,,,,,0,,,2,,,,,,+2WS,"zu speziell","Thermal insulation with stucco elements",facade_insulation_stucco,Thermal insulation with stucco elements,,https://ig-lebenszyklus.at/wp-content/uploads/2023/11/Massnahmenkatalog_final.pdf,9,,
Zellulosedämmung,Dämmung,0,,999,,0,0,0,0,2,,,,,,,0,,,2,,,,,,+2WS,"Natürlicher Dämmstoff. Geringe Umweltbelastung und recyclebar.","Eco Insulation of top floor ceiling: cellulose",top_floor_ceiling_insulation_cellulose,Eco Insulation of top floor ceiling: cellulose,,https://www.klimaaktiv.at/fileadmin/Bibliothek/Publikationen/2025_Sanierung_Heizungsumstellung.pdf,12,,
Zellulosedämmung,Dämmung,0,,999,,0,0,0,0,2,,,,,,,0,,,2,,,,,,+2WS,"Natürlicher Dämmstoff. Geringe Umweltbelastung und recyclebar.","Insulation of the lowest floor ceiling: cellulose",lowest_floor_ceiling_insulation_cellulose,Insulation of the lowest floor ceiling: cellulose,,https://www.klimaaktiv.at/fileadmin/Bibliothek/Publikationen/2025_Sanierung_Heizungsumstellung.pdf,13,,
Fenstertausch: Holz-Alu,Fenster,1,,2,,10,0,0,0,2,,,,,,10,0,,,1,,,,,,+2WS,"Holz-Alu-Fenster verbessern den Wärmeschutz, sind aber hochwertiger und langlebiger als Plastikfenster. Sie kosten auch mehr.","Complete replacement of the box window",window_repl_wood_alu,Complete replacement of the box window,,,,,
Fenstertausch: Passivhaus,Fenster,1,,2,,20,0,0,0,3,,,,,,20,0,,,2,,,,,,+3WS,"Passivhausfenster bieten deutlich besseren Wärmeschutz und erhöhen den Wohnkomfort, besonders durch weniger Zugluft und wärmere Glasoberflächen. Sie sind teurer und verursachen durch die aufwendigere Konstruktion zusätzliche graue Emissionen.","Complete replacement of the box window",window_repl_passivehouse,Complete replacement of the box window,,,,,
Fenstertausch: Passivhaus ökologisch,Fenster,1,,3,,10,0,0,0,3,,,,,,10,0,,,2,,,,,,+3WS,"Ökologische Passivhausfenster verbinden sehr guten Wärmeschutz mit möglichst klimafreundlichen Materialien. Sie sind die teuerste Variante, reduzieren aber die grauen Emissionen gegenüber konventionellen Passivhausfenstern deutlich.","Complete replacement of the box window",window_repl_eco_passivehouse,Complete replacement of the box window,,,,,
Fenstertausch: Plastik,Fenster,1,,1,,30,0,0,0,2,,,,,,30,0,,,1,,,,,,+2WS,"Kunststofffenster sind die günstige Standardlösung und verbessern den Wärmeschutz etwas. Sie verursachen geringe bis mittlere graue Emissionen, bleiben aber in Komfort und Klimawirkung begrenzt.","Complete replacement of the box window",window_repl_plastic,Complete replacement of the box window,,,,,
Tausch der Verglasung,Fenster,1,,1,,0,0,0,0,1,,,,,,,0,,,1,,,,,,+1WS,"Beim Tausch der Verglasung bleiben die bestehenden Fensterrahmen erhalten, nur die Scheiben werden verbessert. Das ist günstiger und verursacht weniger Eingriff als ein kompletter Fenstertausch, bringt aber nur eine begrenzte Verbesserung des Wärmeschutzes.","Replacement of the glazing (the inner sash)",glazing_replacement,Replacement of the glazing (the inner sash),,https://ig-lebenszyklus.at/wp-content/uploads/2023/11/Massnahmenkatalog_final.pdf,,,
Dezentrale Lüftungsgeräte,Lüftung,1,,1,,0,0,0,0,1,,,,,,,0,,,1,,,,,,+1WS,"Dezentrale Lüftungsgeräte werden raumweise eingebaut und brauchen weniger Eingriffe in die bestehende Bausubstanz. Sie sind meist günstiger und einfacher nachzurüsten, bringen aber weniger Komfort und Energieeinsparung als eine gute zentrale Lösung.","Decentralized comfort ventilation",decentralized_comfort_ventilation,Decentralized comfort ventilation,,https://ig-lebenszyklus.at/wp-content/uploads/2023/11/Massnahmenkatalog_final.pdf,27,,
Fensterfalzlüftung,Lüftung,0,,999,,0,0,0,0,1,,,,,,,0,,,1,,,,,,+1WS,"Durch das Anbringen von Lüftungsöffnungen an den Fenstern wird eine ausreichende Luftzirkulation gewährleistet, damit sich kein Schimmel bilden kann.","Window rebate ventilation",window_rebate_ventilation,Window rebate ventilation,,https://ig-lebenszyklus.at/wp-content/uploads/2023/11/Massnahmenkatalog_final.pdf,29,,
Lüftungsanlage mit Wärmerückgewinnung,Lüftung,1,,3,,10,1,0,0,2,,1,,,,10,5,,,2,,,,,,"+1BM&nbsp;+2WS&nbsp;+1ZU","Eine Komfortlüftung sorgt für hygienischen Luftwechsel und gewinnt einen großen Teil der Wärme aus der Abluft zurück. Sie verbessert Komfort und Wärmeschutz spürbar, ist aber teuer und erhöht den Strombedarf.","Mechanical ventilation system with heat recovery",ventilation_heat_recovery,Mechanical ventilation system with heat recovery,,https://ig-lebenszyklus.at/wp-content/uploads/2023/11/Massnahmenkatalog_final.pdf,24,,
Lüftungs-Brüstungsgeräte,Lüftung,0,,999,,0,0,0,0,1,,,,,,,0,,,1,,,,,,+1WS,"Lüftungslösungen, die im Boden, an der Decke oder in der Brüstung (zwischen Boden und Fenster, wie ein Heizkörper) installiert werden können.","Parapet devices for ventilation (floor/ceiling/parapet)",parapet_ventilation_units,Parapet devices for ventilation (floor/ceiling/parapet),,https://ig-lebenszyklus.at/wp-content/uploads/2023/11/Massnahmenkatalog_final.pdf,26,,
Mechanische Abluftanlagen,Lüftung,1,,1,,0,0,0,0,0,,1,,,,,0,,,0,,,,,,+1ZU,"Eine mechanische Abluftanlage führt verbrauchte und feuchte Luft aus Bad, WC oder Küche ab und verbessert damit Hygiene und Wohnkomfort. Da keine Wärmerückgewinnung erfolgt, reduziert sie die Lüftungswärmeverluste nicht und bringt kaum energetischen Vorteil.","Mechanical exhaust air systems",mechanical_exhaust_air,Mechanical exhaust air systems,,https://ig-lebenszyklus.at/wp-content/uploads/2023/11/Massnahmenkatalog_final.pdf,30,,
Zentrale Lüftungsanlage,Lüftung,1,,2,,5,1,0,0,1,,1,,,,5,5,,,1,,,,,,"+1BM&nbsp;+1WS&nbsp;+1ZU","Eine zentrale Lüftungsanlage sorgt für geregelten, hygienischen Luftwechsel im Gebäude. In der einfachen Ausführung ist sie günstiger, reduziert aber die Lüftungswärmeverluste weniger stark als eine Komfortlüftung mit effizienter Wärmerückgewinnung.","Central mechanical ventilation system with heat recovery",central_ventilation_heat_recovery,Central mechanical ventilation system with heat recovery,,https://ig-lebenszyklus.at/wp-content/uploads/2023/11/Massnahmenkatalog_final.pdf,24,,
