Name,Slot/Stapel,Count,Heizsystem,Kosten,BauEmissionen,SofortCO2,Strombedarf,Stromproduktion,Stromspeicher,Wärmeschutz,Wärmepumpen-Effizienz,Zufriedenheit,SofortBudget,REAL Kosten,REAL BauEmissionen,REAL Sofort CO2,REAL Strombedarf,REAL Stromproduktion,REAL Stromspeicher,REAL Wärmeschutz,REAL Wärmepumpen-Effizienz,Voraussetzung Spalte,Voraussetzung Wert,Voraussetzung Wert NICHT,EffektParsed,Beschreibung
Lüftungsanlage mit Wärmerückgewinnung,Lüftung,1,,3,,10,1,0,0,2,,1,,,,10,5,,,2,,,,,BMXXWSWSXXZU,"Eine Komfortlüftung sorgt für hygienischen Luftwechsel und gewinnt einen großen Teil der Wärme aus der Abluft zurück. Sie verbessert Komfort und Wärmeschutz spürbar, ist aber teuer und erhöht den Strombedarf."
Mechanische Abluftanlagen,Lüftung,1,,1,,0,0,0,0,0,,1,,,,,0,,,0,,,,,ZU,"Eine mechanische Abluftanlage führt verbrauchte und feuchte Luft aus Bad, WC oder Küche ab und verbessert damit Hygiene und Wohnkomfort. Da keine Wärmerückgewinnung erfolgt, reduziert sie die Lüftungswärmeverluste nicht und bringt kaum energetischen Vorteil."
Zentrale Lüftungsanlage,Lüftung,1,,2,,5,1,0,0,1,,1,,,,5,5,,,1,,,,,BMXXWSXXZU,"Eine zentrale Lüftungsanlage sorgt für geregelten, hygienischen Luftwechsel im Gebäude. In der einfachen Ausführung ist sie günstiger, reduziert aber die Lüftungswärmeverluste weniger stark als eine Komfortlüftung mit effizienter Wärmerückgewinnung."
Abwasserwärmepumpen,Wärmeerzeugung,1,WP,3,,0,0,0,0,,2,,,,,,0,,,,2,,,,EFEFXXXXWP,"Eine Abwasser-Wärmepumpe nutzt Wärme aus dem Abwasser, die sonst ungenutzt verloren gehen würde. Sie kann sehr effizient sein und viele Emissionen sparen, ist aber eine technisch anspruchsvolle und meist teurere Lösung."
Biomasse-Kessel,Wärmeerzeugung,1,BIO,1,,0,0,0,0,,,-1,,,,,0,,,,,,,,ZMXXXXBI,"Biomasse kann günstig erneuerbare Wärme bereitstellen und bestehende Heizsysteme teilweise gut ersetzen. In der Stadt ist sie aber wegen Lagerung, Anlieferung, Feinstaub und anderen Immissionen oft schwer umsetzbar."
Dezentrale Luftwärmepumpe,Wärmeerzeugung,1,WP,1,,0,0,0,0,,1,-1,,,,,0,,0,,1,,,,EFXXZMXXXXWP,"Eine dezentrale Luftwärmepumpe ist vergleichsweise günstig und kann einzelne Wohnungen oder Bereiche direkt versorgen. Sie nutzt Außenluft als Wärmequelle, ist aber weniger effizient und kann durch Außengeräte, Lärm oder Platzbedarf im städtischen Umfeld problematisch sein."
Erdwärmepumpe,Wärmeerzeugung,1,WP,2,,10,0,0,0,,2,,,,,10,0,,0,,2,,,,EFEFXXXXWP,"Eine Erdwärmepumpe nutzt Wärme aus dem Erdreich und arbeitet dadurch meist sehr effizient und stabil. Sie spart viele Emissionen, ist aber wegen Bohrungen oder Erdarbeiten teuer und aufwendig umzusetzen."
Fernwärme-Anschluss,Wärmeerzeugung,1,FW,1,,0,0,0,0,,,,,,,,0,,,,,,,,XXFW,"Fernwärme ist einfach und im Allgemeinen umweltverträglich, kann aber teurer sein als andere Lösungen."
Grundwasser-Wärmepumpe,Wärmeerzeugung,1,WP,2,,0,0,0,0,,2,,,,,,0,,0,,2,,,,EFEFXXXXWP,"Eine Grundwasser-Wärmepumpe nutzt die relativ konstante Temperatur des Grundwassers und kann sehr effizient heizen und kühlen. Sie spart viele Emissionen, ist aber teuer, genehmigungspflichtig und nur bei geeigneten Standortbedingungen möglich."
Grünes Gas,Wärmeerzeugung,1,GG,2,,0,0,0,0,,,,,,,,0,,,,,,,,XXGG,"Grünes Gas kann bestehende Gasheizungen weiter nutzbar machen, ohne sofort das ganze Heizsystem umzubauen. Die Klimawirkung hängt aber stark davon ab, ob ausreichend erneuerbares Gas verfügbar und leistbar ist – hier bleibt ein großes Kosten- und Verfügbarkeitsrisiko."
Infrarotpaneele,Wärmeerzeugung,0,,999,,0,0,0,0,,,,,,,,0,,,,,,,,,"Infrarotpaneele können in fast jedem Haus nachgerüstet werden, sind aber weit weniger effizient als Wärmepumpen und benötigen teuren Strom."
Zentrale Luftwärmepumpe,Wärmeerzeugung,1,WP,2,,0,0,0,0,,1,,,,,,0,,0,,1,,,,EFXXXXWP,"Eine zentrale Luftwärmepumpe versorgt das ganze Gebäude und nutzt Außenluft als Wärmequelle. Sie ist teurer als dezentrale Geräte, lässt sich aber besser planen, schalltechnisch kontrollieren und mit Speicher oder Niedertemperatur-Heizsystemen kombinieren."
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
